datetime_utc_from,datetime_utc_to,value,parameter,units,coverage_pct,observed_count,expected_count,avg,min,max
2017-02-17T23:00:00Z,2017-02-18T23:00:00Z,12.9,pm10,µg/m³,67.0,16,24,12.853749999999998,4.5,24.73
2017-02-18T23:00:00Z,2017-02-19T23:00:00Z,15.4,pm10,µg/m³,100.0,24,24,15.423749999999998,5.23,24.65
2017-02-19T23:00:00Z,2017-02-20T23:00:00Z,15.8,pm10,µg/m³,100.0,24,24,15.791666666666663,8.15,36.98
2017-02-20T23:00:00Z,2017-02-21T23:00:00Z,6.64,pm10,µg/m³,100.0,24,24,6.636666666666667,2.2,21.08
2017-02-21T23:00:00Z,2017-02-22T23:00:00Z,7.98,pm10,µg/m³,4.0,1,24,7.98,7.98,7.98
2017-02-22T23:00:00Z,2017-02-23T23:00:00Z,6.9,pm10,µg/m³,96.0,23,24,6.895652173913043,0.2,12.75
2017-02-23T23:00:00Z,2017-02-24T23:00:00Z,13.0,pm10,µg/m³,100.0,24,24,12.965833333333329,7.7,24.05
2017-02-24T23:00:00Z,2017-02-25T23:00:00Z,21.9,pm10,µg/m³,54.0,13,24,21.868461538461535,10.48,34.55
2017-02-26T23:00:00Z,2017-02-27T23:00:00Z,3.91,pm10,µg/m³,83.0,20,24,3.910000000000001,0.2,8.88
2017-02-27T23:00:00Z,2017-02-28T23:00:00Z,3.91,pm10,µg/m³,92.0,22,24,3.9063636363636363,0.95,10.38
2017-02-28T23:00:00Z,2017-03-01T23:00:00Z,7.02,pm10,µg/m³,83.0,20,24,7.022999999999999,0.3,13.85
2017-03-01T23:00:00Z,2017-03-02T23:00:00Z,18.7,pm10,µg/m³,100.0,24,24,18.698333333333334,1.93,43.13
2017-03-02T23:00:00Z,2017-03-03T23:00:00Z,11.2,pm10,µg/m³,100.0,24,24,11.222499999999998,1.78,29.95
2017-03-03T23:00:00Z,2017-03-04T23:00:00Z,4.24,pm10,µg/m³,100.0,24,24,4.243333333333333,0.63,7.9
2017-03-04T23:00:00Z,2017-03-05T23:00:00Z,6.2,pm10,µg/m³,96.0,23,24,6.203913043478261,0.05,12.5
2017-03-05T23:00:00Z,2017-03-06T23:00:00Z,17.4,pm10,µg/m³,54.0,13,24,17.361538461538462,2.15,27.8
2017-03-06T23:00:00Z,2017-03-07T23:00:00Z,12.2,pm10,µg/m³,96.0,23,24,12.173913043478258,3.7,18.08
2017-03-07T23:00:00Z,2017-03-08T23:00:00Z,4.84,pm10,µg/m³,100.0,24,24,4.837500000000001,0.0,11.33
2017-03-08T23:00:00Z,2017-03-09T23:00:00Z,9.87,pm10,µg/m³,88.0,21,24,9.866666666666665,0.43,17.53
2017-03-09T23:00:00Z,2017-03-10T23:00:00Z,13.2,pm10,µg/m³,54.0,13,24,13.224615384615383,10.18,17.3
2017-03-11T23:00:00Z,2017-03-12T23:00:00Z,19.7,pm10,µg/m³,71.0,17,24,19.65705882352941,14.03,25.63
2017-03-12T23:00:00Z,2017-03-13T23:00:00Z,27.6,pm10,µg/m³,100.0,24,24,27.56708333333333,14.83,47.75
2017-03-13T23:00:00Z,2017-03-14T23:00:00Z,21.7,pm10,µg/m³,100.0,24,24,21.711249999999996,9.5,31.15
2017-03-14T23:00:00Z,2017-03-15T23:00:00Z,14.5,pm10,µg/m³,100.0,24,24,14.548333333333332,7.43,30.88
2017-03-15T23:00:00Z,2017-03-16T23:00:00Z,19.8,pm10,µg/m³,100.0,24,24,19.833333333333332,8.93,36.68
2017-03-16T23:00:00Z,2017-03-17T23:00:00Z,21.5,pm10,µg/m³,100.0,24,24,21.46291666666667,5.63,48.55
2017-03-17T23:00:00Z,2017-03-18T23:00:00Z,10.8,pm10,µg/m³,100.0,24,24,10.812916666666666,6.2,18.03
2017-03-18T23:00:00Z,2017-03-19T23:00:00Z,10.9,pm10,µg/m³,100.0,24,24,10.936666666666667,7.83,16.95
2017-03-19T23:00:00Z,2017-03-20T23:00:00Z,8.29,pm10,µg/m³,100.0,24,24,8.293333333333335,0.83,38.95
