date,temperature,temp_max,temp_min,precip,wind_speed,wind_dir,humidity,pressure
2017-02-17,1.7729163,6.55,-1.35,2.4999998,24.29133,257.99878,86.19416,1023.2917
2017-02-18,2.0895832,4.3,1.05,3.8,16.343367,266.68015,93.035675,1024.0292
2017-02-19,3.1000001,6.15,0.45,0.3,17.555305,242.82332,82.1078,1024.5459
2017-02-20,3.2354167,7.9,-0.9,0.0,28.963785,243.80974,75.787224,1018.45
2017-02-21,6.260416,9.0,3.9,6.5999994,31.845247,259.04492,84.00637,1007.7292
2017-02-22,6.4666667,9.9,2.75,2.6000004,37.798286,246.65726,80.61061,1007.23334
2017-02-23,8.335417,13.45,5.15,7.0999994,36.367126,250.53227,78.83378,1001.1209
2017-02-24,7.477083,13.0,-1.0,0.1,49.708687,259.73026,53.132,1000.53754
2017-02-25,0.35625005,4.15,-2.4,0.4,29.655787,265.36734,70.89597,1020.3414
2017-02-26,4.4541674,8.5,-1.2,0.3,22.59699,242.20332,48.619175,1017.3416
2017-02-27,6.602083,14.7,-0.25,0.0,12.43434,205.59494,57.616592,1012.7334
2017-02-28,7.8583336,12.9,2.45,0.1,27.217524,193.21498,69.059784,1001.60834
2017-03-01,6.5979176,8.5,3.35,2.3,25.212852,249.83679,69.40373,1003.0418
2017-03-02,6.6458325,12.2,2.55,0.2,35.52162,240.1443,60.167572,1008.2959
2017-03-03,5.6770835,10.5,2.4,0.0,29.17777,253.90514,57.755566,1016.40424
2017-03-04,8.412499,15.9,1.65,0.0,20.037485,166.11627,56.991848,1006.8625
2017-03-05,11.577084,15.65,6.05,1.8,30.018473,229.42162,58.802677,1004.1792
2017-03-06,6.6875005,10.05,3.8,9.700001,19.652176,249.20581,81.82816,1002.7957
2017-03-07,4.797917,9.6,0.9,0.4,14.417988,245.0372,79.48707,1008.51666
2017-03-08,4.0833335,6.8,1.25,0.0,13.479583,31.138905,78.602394,1023.2625
2017-03-09,2.8999999,6.4,-1.95,2.0,19.201874,248.85645,87.13745,1018.1584
2017-03-10,3.7562497,8.1,-0.4,0.1,16.923828,45.503418,82.1843,1017.14166
2017-03-11,3.9916668,7.2,1.25,0.0,15.496736,332.59558,74.23127,1023.0874
2017-03-12,3.0166664,7.1,-0.35,0.4,18.947083,50.452095,74.58744,1021.62494
2017-03-13,3.0999997,6.55,-1.1,0.0,7.42159,41.98713,79.16842,1025.3375
2017-03-14,3.8833332,7.9,-0.4,0.4,11.165805,269.5984,76.97213,1028.3083
2017-03-15,5.4812493,10.95,-0.25,0.6,27.117346,270.65103,70.34136,1025.5791
2017-03-16,4.44375,9.05,0.7,0.0,27.155552,282.81818,70.27975,1022.80835
2017-03-17,6.0562496,14.1,-1.85,0.7,21.42227,237.15591,68.70629,1014.61255
2017-03-18,5.4541664,7.85,2.55,9.599999,36.40275,258.51105,83.75055,1003.3667
2017-03-19,4.4395833,7.35,1.45,0.5,34.04808,280.55176,59.823696,1007.3208
2017-03-20,8.397917,12.55,2.9,6.0999994,26.649727,261.28375,83.34501,1007.87506
2017-03-21,10.089583,15.05,6.15,0.0,24.933735,253.65756,73.53867,1009.70844
2017-03-22,6.589583,8.9,5.2,19.8,21.175837,38.973526,92.32938,1015.64996
2017-03-23,6.652083,10.65,4.0,0.8,21.96,77.65431,85.42739,1019.32074
2017-03-24,6.6687493,8.2,3.2,0.0,16.279802,310.8043,84.742195,1025.8958
2017-03-25,5.8250003,11.25,0.35,0.0,23.83896,274.89346,65.93786,1026.0208
2017-03-26,3.16875,6.3,-0.85,0.0,19.0392,357.94824,71.235146,1024.7626
2017-03-27,5.831249,13.55,-1.1,0.0,19.852295,260.80936,68.02819,1026.0292
2017-03-28,9.84375,17.35,3.95,0.0,19.469976,260.62015,61.80769,1021.94574
2017-03-29,11.670834,18.45,6.4,0.8,25.071096,271.71295,63.78966,1020.41235
2017-03-30,9.902083,13.1,6.35,0.1,18.0036,280.1754,76.8035,1025.9042
2017-03-31,11.64375,18.75,4.85,0.0,15.986595,233.30672,70.9278,1023.3
2017-04-01,13.14375,21.1,5.5,0.0,13.684735,180.5894,58.674225,1016.60004
2017-04-02,14.925,23.05,7.25,0.0,17.414474,222.2993,56.473957,1015.9334
2017-04-03,11.895833,17.05,6.6,0.5,18.25026,28.32925,74.41209,1021.9626
2017-04-04,12.5125,18.9,7.5,1.4000001,23.762726,80.13694,77.65431,1020.97095
2017-04-05,11.756251,17.05,6.45,5.0,18.723461,309.16815,79.19468,1016.7625
2017-04-06,6.835417,9.6,3.45,7.0999994,27.776047,299.86865,77.00499,1014.6375
2017-04-07,5.0416665,6.9,3.1,4.9,20.545246,275.89685,86.440926,1015.62085
2017-04-08,8.899999,12.7,5.9,2.0000002,19.694992,316.7942,80.43055,1019.8833
2017-04-09,9.289583,13.95,3.95,0.0,12.7279215,265.09726,76.21405,1026.1124
2017-04-10,12.210418,19.3,3.85,0.0,18.278645,236.33557,66.70196,1018.81244
2017-04-11,8.739583,11.25,5.9,3.1999996,28.820242,285.15506,66.72307,1018.02905
2017-04-12,8.481251,11.5,3.9,0.0,28.817993,249.87375,64.40783,1016.9751
2017-04-13,9.354167,11.25,5.9,4.4,26.208395,271.21262,70.18307,1008.64996
2017-04-14,7.7395835,11.35,4.35,1.2000002,29.301876,272.3819,66.88726,1013.2751
2017-04-15,8.912499,14.1,2.15,0.0,25.60053,254.08902,65.23339,1012.49585
2017-04-16,6.9187493,10.05,3.45,5.6,31.085323,282.00845,71.748634,1012.6707
2017-04-17,5.3625007,9.2,1.55,4.700001,13.004922,129.40839,81.298546,1015.15405
2017-04-18,2.7395833,4.15,1.3,11.4000025,15.815435,26.316244,88.02923,1013.95
2017-04-19,2.4416666,4.9,1.05,10.300001,37.14286,42.81421,80.44639,1020.6208
2017-04-20,2.7937498,5.65,1.15,1.5000001,26.474075,25.971033,56.860336,1028.1041
2017-04-21,4.3250003,9.4,-2.7,0.0,24.490587,270.5364,62.043182,1025.8834
2017-04-22,7.3770833,10.2,3.75,2.3999996,26.552288,266.78455,64.80993,1015.34174
2017-04-23,4.78125,8.5,1.6,3.3,22.930048,274.61984,74.39388,1016.5874
2017-04-24,5.825001,10.25,1.7,1.2,22.101183,262.5687,68.57668,1018.51666
2017-04-25,11.708333,18.65,5.55,4.1,28.802248,229.23454,65.275795,1008.4082
2017-04-26,6.74375,8.75,5.0,4.1,17.786331,44.232075,90.41535,1010.15424
2017-04-27,4.4770837,5.1,3.95,17.2,14.336861,38.632824,95.9421,1013.78326
2017-04-28,5.714584,8.95,4.5,19.2,18.720001,17.981516,95.93,1009.3459
2017-04-29,6.9895825,11.25,2.9,2.1000001,21.2522,268.69476,75.80029,1015.6418
2017-04-30,7.272917,12.3,1.75,0.1,14.039999,84.58458,72.63224,1020.68335
2017-05-01,8.835417,15.1,3.25,0.0,27.219902,86.18601,75.67879,1018.40826
2017-05-02,11.0125,16.85,6.85,5.0,21.349546,71.93782,83.22785,1017.8833
